Name,Meaning,Gender,Origin,Similar
Bradon,Broad valley,Male,Irish,-
Brady,Spirited,Male,Irish,-
Braeden,Broad valley,Male,Irish,-
Braedon,Broad valley,Male,Irish,-
Bram,Bramble,Male,Irish,-
Brandan,Raven prince,Male,Irish,-
Brandubh,Black raven,Male,Irish,-
Branduff,Black raven,Male,Irish,-
Branigan,Surname,Male,Irish,-
Brann,Strong,Female,Irish,-
Brannan,Beacon hill,Male,Irish,-
Brannen,Beacon hill,Male,Irish,-
Brannon,Beacon hill,Male,Irish,-
Branson,Son of Brandon,Male,Irish,-
Braoin,Sadness,Male,Irish,-
Brayden,Broad valley,Male,Irish,-
Braydon,Broad valley,Male,Irish,-
Brea,Strong,Female,Irish,-
Breandan,Little raven,Female,Irish,-
Breandan,Prince,Male,Irish,-
Breanne,Strong,Female,Irish,-
Breasal,Pain,Male,Irish,-
Breck,Freckled,Female,Irish,-
Breck,Freckled,Male,Irish,-
Bree,Strong,Female,Irish,-
Breeda,Strength,Female,Irish,-
Breen,Fairy palace,Female,Irish,-
Breen,Sadness,Male,Irish,-
Breena,Fairy palace,Female,Irish,-
Brenda,Little raven,Female,Irish,-
Brendalynn,Little raven,Female,Irish,-
Brendan,Little raven,Male,Irish,-
Brenden,Little raven,Male,Irish,-
Brendolyn,Little raven,Female,Irish,-
Brendon,Little raven,Male,Irish,-
Brenn,Little raven,Male,Irish,-
Brenna,Little raven,Female,Irish,-
Brennan,Little raven,Male,Irish,-
Brennen,Little raven,Male,Irish,-
Brennon,Little raven,Male,Irish,-
Breslin,Surname,Male,Irish,-
Bria,Strong,Female,Irish,-
Briana,Strong,Female,Irish,-
Brianna,Strong,Female,Irish,-
Brianne,Strong,Female,Irish,-
Brid,Strength,Female,Irish,-
Bride,Strength,Female,Irish,-
Bridget,Strength,Female,Irish,-
Brielle,Cheese,Female,Irish,-
Brighid,Strength,Female,Irish,-
Brina,Strong,Female,Irish,-
Brody,A ditch,Male,Irish,-
Brona,Sorrowful,Female,Irish,-
Brone,Sorrowful,Male,Irish,-
Bryan,Honorable,Male,Irish,-
Bryanna,Strong,Female,Irish,-
Bryna,Strong,Female,Irish,-
Brynda,Little raven,Female,Irish,-
Bryne,Hill,Male,Irish,-
Buach,Victorious,Male,Irish,-
Buagh,Victorious,Male,Irish,-
Buan,Goodness,Female,Irish,-
Buckley,Boy,Male,Irish,-
Burne,From the brook,Male,Irish,-
Burnell,Strong or brave as a bear,Male,Irish,-
Burnette,Bear or brown,Male,Irish,-
Burney,Lives on the brook island,Male,Irish,-
Byme,Bear or brown,Male,Irish,-
Cacanisius,Son of Nis,Male,Irish,-
Cace,Vigorous or brave,Male,Irish,-
Cacey,Vigorous or brave,Female,Irish,-
Cacey,Vigorous or brave,Male,Irish,-
Cacia,Brave,Female,Irish,-
Cadee,Rhythm,Female,Irish,-
Cadence,Rhythm,Female,Irish,-
Cadhla,Attractive,Female,Irish,-
Cadhla,Attractive,Male,Irish,-
Cadi,Rhythm,Female,Irish,-
Cadie,Rhythm,Female,Irish,-
Cady,Rhythm,Female,Irish,-
Caffar,Helmet,Male,Irish,-
Caffara,Helmet,Female,Irish,-
Caffaria,Helmet,Female,Irish,-
Cagney,Surname,Male,Irish,-
Cahir,Warrior,Male,Irish,-
Cahira,Warrior,Female,Irish,-
Cailin,Pure,Female,Irish,-
Cain,Archaic,Male,Irish,-
Caiseal,From Cashel,Male,Irish,-
Cait,Pure,Female,Irish,-
Caith,From the battlefield,Male,Irish,-
Caitie,Pure,Female,Irish,-
Caitlan,Pure,Female,Irish,-
Caitland,Pure,Female,Irish,-
Caitlin,Pure,Female,Irish,-
Caitlinn,Pure,Female,Irish,-
Caitlyn,Pure,Female,Irish,-
Caitlynn,Pure,Female,Irish,-
Caitrin,Pure,Female,Irish,-
Calbhach,Bald,Male,Irish,-
Caley,Slender,Male,Irish,-
Calhoun,From the narrow forest,Male,Irish,-
Callaghan,Strife,Male,Irish,-
Callahan,Strife,Male,Irish,-
Callee,Fortress,Female,Irish,-
Calli,Fortress,Female,Irish,-
Callie,Fortress,Female,Irish,-
Callough,Bald,Male,Irish,-
Calvagh,Bald,Male,Irish,-
Caly,Slender,Male,Irish,-
Canice,Handsome,Male,Irish,-
Caoimhe,Lovely and charming,Female,Irish,-
Caolaidhe,Slender,Male,Irish,-
Caolan,Slender,Male,Irish,-
Caomh,Lovable,Male,Irish,-
