Name,Meaning,Gender,Origin,Similar
Dakota,Friend; ally. Tribal name.,Male,Native-American,-
Dakotah,Friend; ally. Tribal name.,Male,Native-American,-
Dasan,Chief.,Male,Native-American,-
Deganawidah,Variant of Dekanawida: Iroquois name meaning two rivers running.,Male,Native-American,-
Degataga,Cherokee name meaning gathering.,Male,Native-American,-
Dekanawida,Iroquois name meaning two rivers running.,Male,Native-American,-
Delsin,he is so,Male,Native-American,-
Delsy,Variant of Delsin: He is so.,Male,Native-American,-
Demothi,Talks while walking.,Male,Native-American,-
Dichali,Talks later; speaks a lot.,Male,Native-American,-
Diwali,Cherokee name meaning bowl.,Male,Native-American,-
Dohasan,Kiowa name meaning cliff.,Male,Native-American,-
Dohate,Variant of Dohasan: Kiowa name meaning cliff.,Male,Native-American,-
Dohosan,Variant of Dohasan: Kiowa name meaning cliff.,Male,Native-American,-
Dyami,eagle,Male,Native-American,-
Dyani,deer,Female,Native-American,-
Ealahweemah,Nez Perce name meaning sleep.,Male,Native-American,-
Ealaot Wadass,Nez Perce name meaning earth.,Male,Native-American,-
Ealaothek Kaunis,Nez Perce name meaning birds landing.,Male,Native-American,-
Eapalekthiloom,Nez Perce name meaning mound of clouds.,Male,Native-American,-
Edensaw,Tlingit name meaning glacier.,Male,Native-American,-
Elan,Friendly.,Male,Native-American,-
Elaskolatat,Nez Perce name meaning animal running into the ground.,Male,Native-American,-
Elki,Draping over.,Male,Native-American,-
Elsu,Flying falcon.,Male,Native-American,-
Elu,full of grace,Male,Native-American,-
Eluwilussit,Holy one (Algonquin).,Male,Native-American,-
Enapay,Brave (Sioux).,Male,Native-American,-
Enkoodabaoo,One who lives alone (Algonquin).,Male,Native-American,-
Enkoodabooaoo,One who lives alone (Algonquin).,Male,Native-American,-
Enli,I saw a dog.,Male,Native-American,-
Enola,magnolia,Female,Native-American,-
Enyeto,Walks as a bear.,Male,Native-American,-
Eskaminzim,Apache name meaning big mouth.,Male,Native-American,-
Espowyes,Nez Perce name for light on the mountain.,Male,Native-American,-
Etania,wealthy,Female,Native-American,-
Etchemin,Canoe man (Algonquin).,Male,Native-American,-
Etlelooaat,Shouts (Algonquin).,Male,Native-American,-
Etu,The sun.,Male,Native-American,-
Eyanosa,Sioux name meaning big both ways.,Male,Native-American,-
Eyota,Great.,Male,Native-American,-
Ezhno,Solitary.,Male,Native-American,-
Fala,crow,Female,Native-American,-
Gaagii,Raven (Navajo).,Male,Native-American,-
Gad,Juniper tree (Navajo).,Male,Native-American,-
Gosheven,Leaper.,Male,Native-American,-
Guyapi,Frank.,Male,Native-American,-
Hahkethomemah,Little robe (Cheyenne).,Male,Native-American,-
Hahnee,Beggar.,Male,Native-American,-
Hakan,Fire.,Male,Native-American,-
Halona,fortunate,Female,Native-American,-
Hania,Spirit warrior (Hopi).,Male,Native-American,-
Harkahome,Little robe (Cheyenne).,Male,Native-American,-
Hassun,Stone (Algonquin).,Male,Native-American,-
Hastiin,Man (Navajo).,Male,Native-American,-
Hawiovi,Going down the ladder (Hopi).,Male,Native-American,-
He lush ka,Fighter (Winnebago).,Male,Native-American,-
Heammawihio,Wise one above (Cheyenne).,Male,Native-American,-
Hekli,Touch (Miwok).,Male,Native-American,-
Helaku,sunny day,Male,Native-American,-
Heskovizenako,Porcupine bear (Cheyenne).,Male,Native-American,-
Hesutu,Yellow jacket's nest rising out of the ground (Miwok).,Male,Native-American,-
Hevataneo,Hairyrope (Cheyenne).,Male,Native-American,-
Hevovitastamiutsto,Whirlwind (Cheyenne).,Male,Native-American,-
Hiamovi,High chief (Cheyenne).,Male,Native-American,-
Hinto,Blue (Dakota).,Male,Native-American,-
Hohnihohkaiyohos,High backed wolf (Cheyenne).,Male,Native-American,-
Hok'ee,Abandoned (Navajo).,Male,Native-American,-
Honani,Badger (Hopi).,Male,Native-American,-
Honaw,Bear (Hopi).,Male,Native-American,-
Honiahaka,Little wolf (Cheyenne).,Male,Native-American,-
Honon,Bear (Miwok).,Male,Native-American,-
Honovi,Strong.,Male,Native-American,-
Hotah,White (Sioux).,Male,Native-American,-
Hototo,Warrior spirit who sings (Hopi).,Male,Native-American,-
Hotuaekhaashtait,Tall bull (Cheyenne).,Male,Native-American,-
Howahkan,Of the mysterious voice (Sioux).,Male,Native-American,-
Howi,Turtle dove (Miwok).,Male,Native-American,-
Huritt,Handsome (Algonquin).,Male,Native-American,-
Huyana,rain falling,Female,Native-American,-
Igasho,Wanders.,Male,Native-American,-
