Name,Meaning,Gender,Origin,Similar
Rachany,night,Female,Cambodian,-
Rainsey,rays of the sun,Male,Cambodian,-
Raksmei,ray of light,Male,Cambodian,-
Rangsei,ray of light,Female,Cambodian,-
Rathana,precious stones; jewels,Male,Cambodian,-
Rathanak,precious stones; jewels,Male,Cambodian,-
Reach,beautiful,Female,Cambodian,-
Reaksmey,shining and sparkling,Female,Cambodian,-
Reasmey,sunshine,Female,Cambodian,-
Reasmey,sunshine,Male,Cambodian,-
Rith,strength; courage,Male,Cambodian,-
Rithipol,mystical powers,Male,Cambodian,-
Rithisak,powerful,Male,Cambodian,-
Rithy,powerful strength,Male,Cambodian,-
Rom Chang,water flower,Female,Cambodian,-
Rotha,beautiful country,Female,Cambodian,-
Rothanak,precious stones; jewels,Male,Cambodian,-
Roumduol,type of flower,Female,Cambodian,-
Roumjong,water plant with bluish flower,Female,Cambodian,-
Sakngea,greatness,Male,Cambodian,-
Saley,plant used in beer,Female,Cambodian,-
Samang,lucky; fortunate,Male,Cambodian,-
Samay,modern; contemporary,Male,Cambodian,-
Sambath,great wealth; fortune,Male,Cambodian,-
Samlain,buddy; friend,Male,Cambodian,-
Samnang,lucky in life,Female,Cambodian,-
Samnang,good fortune,Male,Cambodian,-
Samphy,hard working; busy,Female,Cambodian,-
Samphy,hard working; busy,Male,Cambodian,-
Samrin,Cambodian political leader,Male,Cambodian,-
Sangha,handsome,Male,Cambodian,-
Sann,quiet; comfortable,Male,Cambodian,-
Sathea,compassion,Male,Cambodian,-
Savady,Thai greeting,Female,Cambodian,-
Sawatdee,Thai greeting,Female,Cambodian,-
Seda,wife of Rama,Female,Cambodian,-
Seyha,august,Female,Cambodian,-
Sikha,peaceful; content,Female,Cambodian,-
Sinuon,a type of flower,Female,Cambodian,-
Sita,wife of Rama,Female,Cambodian,-
Soboen,dream,Female,Cambodian,-
Socheat,well-born,Female,Cambodian,-
Sok,well; peaceful,Female,Cambodian,-
Sok Mean,happy and wealthy,Female,Cambodian,-
Sokha,peaceful; content,Female,Cambodian,-
Sokha,peaceful; content,Male,Cambodian,-
Sokhanya,peaceful lady,Female,Cambodian,-
Sokhem,hope,Male,Cambodian,-
Sokhom,safe; happy,Female,Cambodian,-
Sokhom,safe; happy,Male,Cambodian,-
Sokun,good smelling,Male,Cambodian,-
Sombo,full of wealth,Female,Cambodian,-
Somnang,lucky; fortunate,Male,Cambodian,-
Sonisay,good first impression,Female,Cambodian,-
Sonith,good conduct or manners,Male,Cambodian,-
Sopath,soft; gentle,Male,Cambodian,-
Sophaep,clever; wisdom,Male,Cambodian,-
Sophal,cultivation,Female,Cambodian,-
Sophea,clever; wisdom,Female,Cambodian,-
Sopheaktra,gentle face,Male,Cambodian,-
Sopheap,gentle; proper,Female,Cambodian,-
Sopheap,proper and gentle,Male,Cambodian,-
Sopheara,handsome; attractive,Male,Cambodian,-
Sopheary,attractive; beautiful,Female,Cambodian,-
Sophon,beauty,Female,Cambodian,-
Sophorn,glamour,Female,Cambodian,-
Soportevy,beautiful; angelic,Female,Cambodian,-
Soriya,sun,Female,Cambodian,-
Sorpheny,beautiful,Female,Cambodian,-
Sorya,sun,Male,Cambodian,-
Sotear,compassion,Female,Cambodian,-
Sotha,pure,Male,Cambodian,-
Sothea,compassion,Male,Cambodian,-
Sothear,clean; pure,Male,Cambodian,-
Sotheara,sweet flower,Female,Cambodian,-
Sothiya,pure soul,Male,Cambodian,-
Sothy,intelligence; scholar,Female,Cambodian,-
Sothy,intelligence; scholar,Male,Cambodian,-
Sourkea,heaven,Female,Cambodian,-
Sourkeat,heaven,Male,Cambodian,-
Sov,Saturday,Male,Cambodian,-
Sovanara,dream,Female,Cambodian,-
Sovandary,gold star,Female,Cambodian,-
Sovaneary,golden girl,Female,Cambodian,-
Sovann,like gold,Male,Cambodian,-
Sovanna,golden; dream,Female,Cambodian,-
Sovannai,golden; dream,Female,Cambodian,-
Sovannar,golden; dream,Male,Cambodian,-
Sovannarith,golden boy,Male,Cambodian,-
Sraem,beautiful brown skin,Female,Cambodian,-
Srey,girl; feminine,Female,Cambodian,-
Srey Doung,young coconut girl,Female,Cambodian,-
Srey Leak,perfect girl,Female,Cambodian,-
Srey Mom,beloved girl,Female,Cambodian,-
Sreymau,black girl,Female,Cambodian,-
Sreynuon,tender girl,Female,Cambodian,-
Sreypich,diamond girl,Female,Cambodian,-
Sros,charmingly beautiful,Female,Cambodian,-
Sros,charmingly beautiful,Male,Cambodian,-
Suorsdey,joyful greeting,Female,Cambodian,-
Taevy,angel; angelic,Female,Cambodian,-
Thavary,an angel; good spirit,Female,Cambodian,-
Theary,helper; aide,Female,Cambodian,-
Thom,oldest one; large,Female,Cambodian,-
Thom,oldest one; large,Male,Cambodian,-
Thyda,girl born of royalty,Female,Cambodian,-
Tina,where,Female,Cambodian,-
Toch,young one; small,Female,Cambodian,-
Tola,born in October,Female,Cambodian,-
Vanna,golden,Female,Cambodian,-
Vanna,golden,Male,Cambodian,-
Vannak,having class,Male,Cambodian,-
Veasna,destiny; fate,Female,Cambodian,-
Veasna,luckily,Male,Cambodian,-
Veata,clever,Female,Cambodian,-
Veha,sky,Male,Cambodian,-
Vibol,in abundance,Male,Cambodian,-
Vichear,knowledge or education,Male,Cambodian,-
Vichet,magnificent; colorful,Male,Cambodian,-
Vimean,royalty; grandeur,Female,Cambodian,-
Vireak,absence of desire,Male,Cambodian,-
Vireakboth,brave; noble son,Male,Cambodian,-
Visal,excellent; large,Male,Cambodian,-
Viseth,excellent; superb,Male,Cambodian,-
Visna,destiny; fate,Male,Cambodian,-
Visoth,heavenly; pure,Male,Cambodian,-
Visothirith,heavenly; pure,Male,Cambodian,-
Vithara,spacious; expansive,Male,Cambodian,-
Vithu,intelligent; scholarly,Male,Cambodian,-
